"Source","Target","weight"
"Wilfrid Laurier University","UniversitÃ Laval",97
"Wilfrid Laurier University","UniversitÃ du QuÃbec â¡ Rimouski",6
"Wilfrid Laurier University","Carleton University",40
"Wilfrid Laurier University","UniversitÃ de MontrÃal",66
"Wilfrid Laurier University","McGill University",75
"Wilfrid Laurier University","Queen's University",71
"Wilfrid Laurier University","University of Alberta",102
"Wilfrid Laurier University","University of British Columbia",222
"Wilfrid Laurier University","UniversitÃ du QuÃbec â¡ Trois-RiviÃres",20
"Wilfrid Laurier University","Social Sciences and Humanities Research Council",13
"Wilfrid Laurier University","University of Calgary",175
"Wilfrid Laurier University","Ryerson University",43
"Wilfrid Laurier University","McMaster University",97
"Wilfrid Laurier University","Dalhousie University",62
"Wilfrid Laurier University","University of Lethbridge",15
"Wilfrid Laurier University","University of Windsor",85
"Wilfrid Laurier University","Acadia University",6
"Wilfrid Laurier University","University of Ottawa",18
"Wilfrid Laurier University","Wilfrid Laurier University",13
"Wilfrid Laurier University","University of Regina",15
"Wilfrid Laurier University","University of Manitoba",20
"Wilfrid Laurier University","University of Toronto",171
"Wilfrid Laurier University","University of Waterloo",267
"Wilfrid Laurier University","â¦cole Polytechnique de MontrÃal",70
"Wilfrid Laurier University","University of Saskatchewan",30
"Wilfrid Laurier University","Royal Military College of Canada",19
"Wilfrid Laurier University","University of Guelph",64
"Wilfrid Laurier University","University of New Brunswick",99
"Wilfrid Laurier University","Institut national de la recherche scientifique",32
"Wilfrid Laurier University","University of Prince Edward Island",14
"Wilfrid Laurier University","Brock University",12
"Wilfrid Laurier University","Memorial University of Newfoundland",15
"Wilfrid Laurier University","Nova Scotia Community College - Annapolis",2
"Wilfrid Laurier University","Liidlii Kue First Nation",2
"Wilfrid Laurier University","NWT Environment and Natural Resources",3
"Wilfrid Laurier University","Indian and Northern Affairs Canada",6
"Wilfrid Laurier University","University of Western Ontario",54
"Wilfrid Laurier University","York University",43
"Wilfrid Laurier University","Simon Fraser University",49
"Wilfrid Laurier University","University of Victoria",26
"Wilfrid Laurier University","University of Winnipeg",4
"Wilfrid Laurier University","University of Northern British Columbia",8
"Wilfrid Laurier University","Okanagan University College",7
"Wilfrid Laurier University","Laurentian University of Sudbury",13
"Wilfrid Laurier University","UniversitÃ de Sherbrooke",75
"Wilfrid Laurier University","Fisheries and Oceans Canada",2
"Wilfrid Laurier University","Kelly Cove Salmon Ltd",2
"Wilfrid Laurier University","Shell Canada Ltd",2
"Wilfrid Laurier University","Suncor Energy Inc.",3
"Wilfrid Laurier University","Imperial Oil Resources Ltd",2
"Wilfrid Laurier University","ITF Labs",1
"Wilfrid Laurier University","Environment Canada",7
"Wilfrid Laurier University","Parks Canada Agency",4
"Wilfrid Laurier University","BC Hydro",4
"Wilfrid Laurier University","OCE Inc.",1
"Wilfrid Laurier University","American Petroleum Institute",1
"Wilfrid Laurier University","Chevron Energy Technology Company",1
"Wilfrid Laurier University","Arcadis Canada Inc.",1
"Wilfrid Laurier University","Golder Associates Ltd (CAN)",1
"Wilfrid Laurier University","Vertex Environmental Inc.",1
"Wilfrid Laurier University","MaRS Discovery District",2
"Wilfrid Laurier University","Iogen Corporation Ltd",2
"Wilfrid Laurier University","UniversitÃ du QuÃbec â¡ MontrÃal",8
"Wilfrid Laurier University","UniversitÃ© Laval",1
"Wilfrid Laurier University","Teck Cominco Limited",6
"Wilfrid Laurier University","Vale Inco",7
"Wilfrid Laurier University","Copper Development Association Inc.",4
"Wilfrid Laurier University","Xstrata Zinc Canada",6
"Wilfrid Laurier University","Nickel Producers Environmental Research Association",4
"Wilfrid Laurier University","International Copper Association Ltd",4
"Wilfrid Laurier University","International Zinc Association",12
"Wilfrid Laurier University","EnviroSim Associates Ltd",2
"Wilfrid Laurier University","Trent University",3
"Wilfrid Laurier University","Xstrata Nickel",3
"Wilfrid Laurier University","Hatch Ltd.",1
"Wilfrid Laurier University","Lost Horizons",1
"Wilfrid Laurier University","Cyrium Technologies Incorporated",1
"Wilfrid Laurier University","Lakehead University",3
"Wilfrid Laurier University","HEC MontrÃal",15
"Wilfrid Laurier University","Centre for Addiction and Mental Health",6
"Wilfrid Laurier University","University of Ontario Institute of Technology",9
"Wilfrid Laurier University","Concordia University",12
"Wilfrid Laurier University","Nipissing University",3
"Wilfrid Laurier University","UniversitÃ© de MontrÃ©al",2
"Wilfrid Laurier University","Avalon Ventures Ltd",2
"Wilfrid Laurier University","Shell Albian Sands",1
"Wilfrid Laurier University","Syncrude Canada Ltd",1
"Wilfrid Laurier University","Imperial Oil Ltd",1
"Wilfrid Laurier University","Canadian Natural Resources Limited",1
"Wilfrid Laurier University","Albian Sands Energy Inc.",1
"Wilfrid Laurier University","Ducks Unlimited Canada",1
"Wilfrid Laurier University","Forest Products Assn of Canada",1
"Wilfrid Laurier University","Tolko Industries Ltd",1
"Wilfrid Laurier University","Petro-Canada",1
"Wilfrid Laurier University","Alberta Pacific Forest Industries Inc.",1
"Wilfrid Laurier University","Total E&P Canada Ltd.",1
"Wilfrid Laurier University","Research in Motion Limited",1
"Wilfrid Laurier University","Canadian Institutes of Health Research",4
"Wilfrid Laurier University","Northern Telecom (US)",1
"Wilfrid Laurier University","HInext",1
"Wilfrid Laurier University","Elisabeth BruyÃre Hospital",1
"Wilfrid Laurier University","Montreal General Hospital",3
"Wilfrid Laurier University","Arizona State University",3
"Wilfrid Laurier University","Saint Mary's University",3
"Wilfrid Laurier University","UniversitÃ du QuÃbec en Outaouais",3
"Wilfrid Laurier University","iGO International Inc",1
"Wilfrid Laurier University","J.D. Irving Ltd",1
"Wilfrid Laurier University","City of Saint John",1
"Wilfrid Laurier University","Mount Allison University",1
"Wilfrid Laurier University","Sciventions Inc.",1
"Wilfrid Laurier University","Siborg Systems Inc.",1
"Wilfrid Laurier University","MYTRAK Health System Inc.",1
"University of British Columbia","UniversitÃ Laval",1390
"University of British Columbia","UniversitÃ du QuÃbec â¡ Rimouski",156
"University of British Columbia","Carleton University",1173
"University of British Columbia","UniversitÃ de MontrÃal",1993
"University of British Columbia","McGill University",2307
"University of British Columbia","Queen's University",1171
"University of British Columbia","University of Alberta",2124
"University of British Columbia","UniversitÃ du QuÃbec â¡ Trois-RiviÃres",458
"University of British Columbia","Tricon Concrete Finishing Co Ltd",6
"University of British Columbia","University of British Columbia",5101
"University of British Columbia","University of Toronto",4441
"University of British Columbia","TRIUMF",284
"University of British Columbia","University of Victoria",911
"University of British Columbia","York University",920
"University of British Columbia","University of Regina",313
"University of British Columbia","FusionPipe Software Solutions Inc.",6
"University of British Columbia","Fujitsu Laboratories of America, Inc.",4
"University of British Columbia","Microsoft Corporation",13
"University of British Columbia","HootSuite Media Inc.",4
"University of British Columbia","SAP Canada Inc.",29
"University of British Columbia","Memorial University of Newfoundland",533
"University of British Columbia","Dalhousie University",1531
"University of British Columbia","Huntsman Marine Science Centre",6
"University of British Columbia","UniversitÃ du QuÃbec â¡ Chicoutimi",11
"University of British Columbia","Fisheries and Oceans Canada",227
"University of British Columbia","Simon Fraser University",1616
"University of British Columbia","University of Guelph",969
"University of British Columbia","Mount Allison University",35
"University of British Columbia","University of Prince Edward Island",80
"University of British Columbia","ArcticNet Inc.",6
"University of British Columbia","University of Ottawa",715
"University of British Columbia","ArcelorMittal",3
"University of British Columbia","University of Saskatchewan",416
"University of British Columbia","University of Calgary",2662
"University of British Columbia","Ausenco Sandwell",9
"University of British Columbia","British Columbia Ministry of Transportation",30
"University of British Columbia","Golder Associates Ltd (CAN)",16
"University of British Columbia","Associated Engineering (BC) Ltd",9
"University of British Columbia","McMaster University",1882
"University of British Columbia","University of New Brunswick",1207
"University of British Columbia","BC Cancer Research Centre",28
"University of British Columbia","BC Cancer Agency",6
"University of British Columbia","Canadian Institutes of Health Research",231
"University of British Columbia","StemCell Tech Inc.",7
"University of British Columbia","Fluidigm Corporation",2
"University of British Columbia","Hydro-Quebec",29
"University of British Columbia","University of Western Ontario",1467
"University of British Columbia","Canadian Space Agency",1
"University of British Columbia","British Columbia Institute of Technology",50
"University of British Columbia","Can. Concrete Masonry Producers Assoc.",6
"University of British Columbia","Masonry Institute of British Columbia",6
"University of British Columbia","Aurora Biomed Inc.",14
"University of British Columbia","Softree Technical Systems Inc.",9
"University of British Columbia","iProgen Biotech Inc",3
"University of British Columbia","Cement Association of Canada",25
"University of British Columbia","Weiler Smith Bowers Consulting Structural Engineers",2
"University of British Columbia","Canam Group Inc.",2
"University of British Columbia","Canadian Sheet Steel Building Institute",2
"University of British Columbia","Portland Cement Association",2
"University of British Columbia","Read Jones Christoffersen",24
"University of British Columbia","Hilti (Canada) Corporation",2
"University of British Columbia","â¦cole Polytechnique de MontrÃal",1426
"University of British Columbia","Total E&P Canada Ltd.",7
"University of British Columbia","Suncor Energy Inc.",8
"University of British Columbia","Canadian Natural Resources Limited",6
"University of British Columbia","Shell Canada Ltd",12
"University of British Columbia","Syncrude Canada Ltd",7
"University of British Columbia","Imperial Oil Ltd",6
"University of British Columbia","Dofasco Inc.",7
"University of British Columbia","ArcelorMittal Dofasco Inc.",19
"University of British Columbia","University of Manitoba",441
"University of British Columbia","Social Sciences and Humanities Research Council",125
"University of British Columbia","Ryerson University",511
"University of British Columbia","University of Lethbridge",175
"University of British Columbia","University of Windsor",1527
"University of British Columbia","Acadia University",48
"University of British Columbia","University of Waterloo",3742
"University of British Columbia","Royal Military College of Canada",234
"University of British Columbia","Institut national de la recherche scientifique",156
"University of British Columbia","Brock University",80
"University of British Columbia","Ballard Power Systems Inc.",15
"University of British Columbia","Freshwater Fisheries Society of BC",13
"University of British Columbia","Pratt & Whitney Canada Inc.",28
"University of British Columbia","Bombardier Aerospace",21
"University of British Columbia","Memex Automation Inc.",12
"University of British Columbia","Origin International Inc.",12
"University of British Columbia","Promation Engineering Ltd",12
"University of British Columbia","Sensor Technology Ltd",12
"University of British Columbia","ASCO Aerospace Canada Ltd",12
"University of British Columbia","National Research Council of Canada",89
"University of British Columbia","Canada Centre for Mineral and Energy Technology",30
"University of British Columbia","Automation Tooling Systems Inc.",12
"University of British Columbia","Stantec Consulting Ltd",14
"University of British Columbia","BAH Enterprises Inc.",1
"University of British Columbia","Altera Toronto Technology Center",8
"University of British Columbia","Impulse Accelerated Technologies, Inc.",6
"University of British Columbia","CONDEV Electronic Consulting & Development Ltd",1
"University of British Columbia","AstraZeneca (Canada)",2
"University of British Columbia","Cominco Engineering Services Ltd",2
"University of British Columbia","University of Winnipeg",32
"University of British Columbia","University of Northern British Columbia",104
"University of British Columbia","Okanagan University College",103
"University of British Columbia","Laurentian University of Sudbury",25
"University of British Columbia","UniversitÃ de Sherbrooke",1446
"University of British Columbia","UniversitÃ du QuÃbec â¡ MontrÃal",262
"University of British Columbia","MinistÃre de la SÃcuritÃ Publique du QuÃbec",21
"University of British Columbia","CommunautÃ urbaine de MontrÃal",21
"University of British Columbia","Dessau-Soprin Inc.",23
"University of British Columbia","Ministry of Forests and Range",71
"University of British Columbia","Baker Engineering and Risk Consultants Inc.",21
"University of British Columbia","Halcrow Yolles",21
"University of British Columbia","Vancouver Port Authority",21
"University of British Columbia","City of Vancouver",29
"University of British Columbia","TransLink",21
"University of British Columbia","Martoni, Cyr & Associates Inc.",21
"University of British Columbia","Produits Hâ¦Vâ¦A inc.",14
"University of British Columbia","BPR inc.",21
"University of British Columbia","Canadian Red Cross",21
"University of British Columbia","GENIVAR Inc.",21
"University of British Columbia","Institute for Catastrophic Loss Reduction",21
"University of British Columbia","Jones Kwong Kishi Consulting Engineers",21
"University of British Columbia","Office of Critical Infrastructure Protection and Emergency Preparedness",21
"University of British Columbia","MinistÃre des Transports du QuÃbec",21
"University of British Columbia","Canadian Institute of Steel Construction",21
"University of British Columbia","Buckland and Taylor Ltd.",21
"University of British Columbia","National Defence",30
"University of British Columbia","Carruthers & Wallace Limited",21
"University of British Columbia","Sandwell Engineering Inc.",21
"University of British Columbia","City of Richmond",21
"University of British Columbia","Yolles Partnership Ltd",21
"University of British Columbia","Natural Resources Canada",143
"University of British Columbia","Le chemin de fer de l'AmÃrique du Nord",21
"University of British Columbia","Delcan Corporation",14
"University of British Columbia","Network for Earthquake Engineering Simulation Inc.",21
"University of British Columbia","Global Inspections - NDT Inc.",1
"University of British Columbia","Cape Breton University",15
"University of British Columbia","Concordia University",347
"University of British Columbia","BC Hydro",64
"University of British Columbia","MinistÃre des Ressources naturelles et Faune",29
"University of British Columbia","Vale Inco",3
"University of British Columbia","Greenleaf Integrated Energy Systems Inc.",2
"University of British Columbia","Atlantic Hydrogen Inc.",2
"University of British Columbia","DaimlerChrysler Canada Inc.",2
"University of British Columbia","Lignol Innovations Corp.",19
"University of British Columbia","Gouvernement du QuÃbec",2
"University of British Columbia","Ministry of Energy and Mines",2
"University of British Columbia","Defence Research and Development Canada",16
"University of British Columbia","Canadian Hydrogen Association",2
"University of British Columbia","HSM Systems Inc",2
"University of British Columbia","Powertech Labs Inc.",25
"University of British Columbia","Palcan Fuel Cell Co. Ltd",3
"University of British Columbia","Xebec Inc",2
"University of British Columbia","BC Transit",2
"University of British Columbia","Next Hydrogen Corporation",2
"University of British Columbia","SiM Composites inc",2
"University of British Columbia","SacrÃ-Davey Engineering",2
"University of British Columbia","A.V. Tchouvelev & Associates",1
"University of British Columbia","Hydrogen & Fuel Cells Canada",2
"University of British Columbia","CHFCA",6
"University of British Columbia","Angstrom Power Inc.",6
"University of British Columbia","Air Liquide Canada Inc.",2
"University of British Columbia","Star Solutions",23
"University of British Columbia","Industry Canada",21
"University of British Columbia","LG Electronics Canada",15
"University of British Columbia","Huawei Technologies Canada",17
"University of British Columbia","WiMatek Systems",15
"University of British Columbia","FPInnovations",160
"University of British Columbia","Sierra Wireless",44
"University of British Columbia","Crosslight Software Inc.",5
"University of British Columbia","Lumerical Solutions Inc.",7
"University of British Columbia","Optelian Networks Corporation",4
"University of British Columbia","Intel Corporation",7
"University of British Columbia","Athabasca University",2
"University of British Columbia","SideBuy Technologies Inc.",1
"University of British Columbia","Metso Paper Ltd./LtÃe",2
"University of British Columbia","Terratech Canada",1
"University of British Columbia","UniversitÃ de Moncton",42
"University of British Columbia","Saint Mary's University",154
"University of British Columbia","World Wildlife Fund Canada",19
"University of British Columbia","Ontario Commercial Fisheries' Association",19
"University of British Columbia","Institut de recherche sur les zones cÃtiÃres inc.",19
"University of British Columbia","Fish, Food & Allied Workers Union",19
"University of British Columbia","Ass des pÃcheurs des ile-de-la-Madeleine",19
"University of British Columbia","West Coast Trollers Association",19
"University of British Columbia","VÃnin Canada Ltd",19
"University of British Columbia","Department of Fisheries and Aquaculture",19
"University of British Columbia","Homarus Inc",19
"University of British Columbia","Area A Crab Association",19
"University of British Columbia","British Columbia Dogfish Hook & Line Industry Association",19
"University of British Columbia","Great Lake Fisheries Commission",19
"University of British Columbia","Ontario Ministry of Natural Resources",59
"University of British Columbia","GCIFA",19
"University of British Columbia","Canadian Council of Professional Fish Harvesters",19
"University of British Columbia","Presteve Foods Limited",19
"University of British Columbia","Nuu-Chah-Nulth Tribal Council",19
"University of British Columbia","United Fishermen and Allied Workers' Union - CAW",19
"University of British Columbia","Skeena Fisheries Commission",19
"University of British Columbia","Pacific Salmon Foundation",19
"University of British Columbia","Maritime Fisherman's Union",19
"University of British Columbia","Arian Sazeh Inc.",4
"University of British Columbia","Microbix Biosystems inc.",3
"University of British Columbia","Cangene Corporation",3
"University of British Columbia","Sanofi Pasteur Limited",3
"University of British Columbia","Public Health Agency of Canada",15
"University of British Columbia","QSV Biologics Ltd.",3
"University of British Columbia","Transition Technologies",3
"University of British Columbia","GE Healthcare Bio-Sciences Inc.",3
"University of British Columbia","Applikon Biotechnology Inc",3
"University of British Columbia","Nysa Membrane Technologies Inc.",3
"University of British Columbia","Biogro Technologies Inc.",3
"University of British Columbia","International Consortium on Anti-Virals",3
"University of British Columbia","CHENOMX Inc.",3
"University of British Columbia","Viventia Biotech Inc.",3
"University of British Columbia","Agrium",2
"University of British Columbia","Telus Corporation",27
"University of British Columbia","University of Ontario Institute of Technology",207
"University of British Columbia","Vestec Inc.",6
"University of British Columbia","G4 Apps Inc",6
"University of British Columbia","Combat Networks",6
"University of British Columbia","CATAAlliance",6
"University of British Columbia","Ericsson Canada Inc.",6
"University of British Columbia","AmikaNow! Corporation",6
"University of British Columbia","Lunaris Inc",6
"University of British Columbia","Wavefront Wireless Innovation Soc of BC",6
"University of British Columbia","Olsonet Communications Corporation",6
"University of British Columbia","Focus Microwaves Inc.",6
"University of British Columbia","Nokia Products Ltd.",26
"University of British Columbia","Transport Canada",9
"University of British Columbia","IBM Canada Ltd",28
"University of British Columbia","Networked Vehicle Association",6
"University of British Columbia","ITS Canada",6
"University of British Columbia","Biopeak Corporation",6
"University of British Columbia","MDS Nordion",1
"University of British Columbia","DPoint Technologies",4
"University of British Columbia","Broadsword Corrosion Engineering Ltd",1
"University of British Columbia","InnoHealth",2
"University of British Columbia","NOVA Chemicals Corporation",18
"University of British Columbia","5D Composite",3
"University of British Columbia","Total Plastic Solutions Inc.",3
"University of British Columbia","Jyco Sealing Technologies",3
"University of British Columbia","Micromolding Solutions Inc.",5
"University of British Columbia","Ingenia Polymers Corporation",3
"University of British Columbia","MAHLE Filter Systems Canada",3
"University of British Columbia","Gracious Living Innovations Inc.",3
"University of British Columbia","ABC Group Inc.",3
"University of British Columbia","Industrial Thermo Polymers Ltd",3
"University of British Columbia","Lavergne Group",3
"University of British Columbia","Horizon Plastics International Inc.",3
"University of British Columbia","Canadian General Tower Ltd",3
"University of British Columbia","Mastercore System Ltd",3
"University of British Columbia","Ensyn Technologies Inc.",3
"University of British Columbia","Sealed Air Corporation",3
"University of British Columbia","Camoplast Inc.",3
"University of British Columbia","Cascades Canada Inc.",17
"University of British Columbia","IPL Inc.",3
"University of British Columbia","Trent University",32
"University of British Columbia","Nipissing University",60
"University of British Columbia","Canadian Forest Service",6
"University of British Columbia","Ontario Ministry of the Environment",5
"University of British Columbia","Parks Canada Agency",11
"University of British Columbia","Kongsberg Maritime Ltd",3
"University of British Columbia","Alberta Innovates - Technology Futures",23
"University of British Columbia","De Beers Canada Mining Inc.",3
"University of British Columbia","Russell Technologies Inc.",1
"University of British Columbia","Watershed Watch Salmon Society",2
"University of British Columbia","Pacific Salmon Commission",2
"University of British Columbia","Mount Saint Vincent University",1
"University of British Columbia","MDS Analytical Technologies",3
"University of British Columbia","UniversitÃ© Laval",16
"University of British Columbia","MacDonald, Dettwiler and Associates Ltd",5
"University of British Columbia","Guard RFID Solutions Inc.",20
"University of British Columbia","Kintama Research Corporation",14
"University of British Columbia","RF & UWB Technologies Ltd",8
"University of British Columbia","SST Wireless Inc.",6
"University of British Columbia","Kelsan Technologies Corporation",5
"University of British Columbia","Quails' Gate Winery",2
"University of British Columbia","9036-4167 QuÃbec Inc.",1
"University of British Columbia","T-Ray Science Inc",1
"University of British Columbia","Cisco Systems Canada Co",1
"University of British Columbia","Lakehead University",103
"University of British Columbia","Hybrid Energy Technologies Inc",1
"University of British Columbia","Advanced Fiber Technologies Inc",16
"University of British Columbia","Nemetz (S/A) & Associates Ltd",3
"University of British Columbia","Stanley Cowdell",3
"University of British Columbia","Association of Professional Engineers and Geoscientists of British Columbia",3
"University of British Columbia","Glotman-Simpson Consulting Engineers",3
"University of British Columbia","Teck Cominco Limited",14
"University of British Columbia","Henry Man",3
"University of British Columbia","Karen Savage",3
"University of British Columbia","WorleyParsons HGE",3
"University of British Columbia","Kenneth Spencer",3
"University of British Columbia","Catherine Roome",3
"University of British Columbia","Micralyne Inc.",9
"University of British Columbia","Aurora NanoDevices Inc.",9
"University of British Columbia","Media and Graphics Interdisciplinary Centre",11
"University of British Columbia","Northern Digital Inc.",5
"University of British Columbia","Japan Advanced Institute of Science and Technology",5
"University of British Columbia","Zak Technology Inc.",5
"University of British Columbia","Ville de LÃvis",2
"University of British Columbia","Ville de QuÃbec",8
"University of British Columbia","ITF Labs",2
"University of British Columbia","VMware Canada Inc.",1
"University of British Columbia","Manitoba Hydro",1
"University of British Columbia","Huys Industries Limited",12
"University of British Columbia","Novelis Inc.",21
"University of British Columbia","General Motors of Canada Ltd",37
"University of British Columbia","Meridian Technologies Inc.",12
"University of British Columbia","Dana Corporation",12
"University of British Columbia","CenterLine (Windsor) Ltd.",12
"University of British Columbia","Cosma International",12
"University of British Columbia","Process Performance Technologies Inc.",12
"University of British Columbia","Teck Cominco Metals Ltd.",17
"University of British Columbia","Mobio Technologies Inc.",1
"University of British Columbia","The Shipping Federation of Canada",3
"University of British Columbia","BC Ministry of Environment",15
"University of British Columbia","Ontario Federation of Anglers and Hunters",3
"University of British Columbia","Diavik Diamond Mines Inc.",8
"University of British Columbia","City of Abbotsford",7
"University of British Columbia","Dayton and Knight Limited",7
"University of British Columbia","Environment Canada",32
"University of British Columbia","SEI Industries Ltd",1
"University of British Columbia","H2E Power Corporation",1
"University of British Columbia","â¦cole de technologie supÃrieure",9
"University of British Columbia","Delastek Aeronautique Inc.",8
"University of British Columbia","Consortium for Research and Innovation in Aerospace in Quebec",10
"University of British Columbia","Bell Helicopter Textron Canada",8
"University of British Columbia","Marquez Transtech Ltd.",6
"University of British Columbia","Avior Integrated Products Inc.",6
"University of British Columbia","Canfor Pulp Limited Partnership",7
"University of British Columbia","Dextrus Prosoft (Canada) Inc",3
"University of British Columbia","Torry Harris Business Solutions",3
"University of British Columbia","DISTIL Interactive Ltd",3
"University of British Columbia","TRLabs",3
"University of British Columbia","SMART Technologies Inc.",17
"University of British Columbia","Bedarra Corporation",3
"University of British Columbia","CAE Professional Services Canada",3
"University of British Columbia","Gallium Visual Systems Inc.",3
"University of British Columbia","Western Forest Products Inc.",15
"University of British Columbia","SelectSeed Company Ltd.",6
"University of British Columbia","TimberWest Forest Corp.",7
"University of British Columbia","Pacific Regeneration Technologies Inc.",6
"University of British Columbia","National Centre for Nuclear Research",3
"University of British Columbia","IPSCO Inc.",8
"University of British Columbia","Evraz Inc. NA",19
"University of British Columbia","TransCanada PipeLines Limited",4
"University of British Columbia","CRC-Evans Automatic Welding",2
"University of British Columbia","Secodix Corporation",2
"University of British Columbia","Taku Gold Corp.",4
"University of British Columbia","Rackla Metals Inc.",4
"University of British Columbia","Kinross Gold Corporation",4
"University of British Columbia","Aldrin Resource Corp.",4
"University of British Columbia","Northern Freegold Resources Ltd.",4
"University of British Columbia","Independence Gold Corp.",4
"University of British Columbia","Full Metal Minerals",4
"University of British Columbia","Gold Fields Canada Exploration",4
"University of British Columbia","Radius Gold Inc.",4
"University of British Columbia","Barrick Gold Corporation (US)",4
"University of British Columbia","Barrick Gold Corporation",7
"University of British Columbia","Peregrine Diamonds Ltd.",2
"University of British Columbia","Knelson Gold Concentrators Inc.",3
"University of British Columbia","CarnoTech Energy Inc.",1
"University of British Columbia","NORAM Engineering & Constructors Ltd",7
"University of British Columbia","Iogen Corporation Ltd",3
"University of British Columbia","Kensington Computer Products Group",2
"University of British Columbia","Omnex Control Systems Inc.",2
"University of British Columbia","AMS Homecare Inc",2
"University of British Columbia","BroadbandTV Corp.",5
"University of British Columbia","GE Water & Process Technologies",10
"University of British Columbia","Research in Motion Limited",12
"University of British Columbia","Weyerhaeuser Company",19
"University of British Columbia","Kalala Organic Vineyards Ltd.",1
"University of British Columbia","Marakanda Entertainment Inc.",1
"University of British Columbia","Bell Canada",26
"University of British Columbia","Avigilon Corporation",9
"University of British Columbia","Vidigami Media Inc.",6
"University of British Columbia","Mathematics of Information Technology and Complex Systems",12
"University of British Columbia","Atlantic Industries Ltd",3
"University of British Columbia","Structa Wire Corporation",3
"University of British Columbia","International Composting Corporation",4
"University of British Columbia","FUJIFILM Dimatix, Inc.",3
"University of British Columbia","Pulp and Paper Research Institute of Canada",9
"University of British Columbia","Toxin Alert Inc.",3
"University of British Columbia","Ahlstrom Corporation",3
"University of British Columbia","Warnex Inc.",3
"University of British Columbia","Buckman Laboratories International Inc.",3
"University of British Columbia","Phoenix Bio-Tech Corp.",3
"University of British Columbia","Sun Chemical Corporation",8
"University of British Columbia","Tembec Inc.",30
"University of British Columbia","Centre for Materials and Manufacturing",3
"University of British Columbia","Domtar Inc.",4
"University of British Columbia","Stora Enso North America",3
"University of British Columbia","UniversitÃ© de MontrÃ©al",3
"University of British Columbia","Qualcomm Canada Inc.",17
"University of British Columbia","NWT Environment and Natural Resources",1
"University of British Columbia","MK Technologies",1
"University of British Columbia","Western Canada's Genetics Centre",3
"University of British Columbia","British Columbia Dairy Foundation",3
"University of British Columbia","Alberta Milk",3
"University of British Columbia","Cattle Industry Development Council",3
"University of British Columbia","Pfizer Canada Inc.",3
"University of British Columbia","Dairy Farmers of Canada",3
"University of British Columbia","BC Milk Producers",3
"University of British Columbia","GhostBird Software",1
"University of British Columbia","Specialty Polymer Coatings Inc.",2
"University of British Columbia","Canadian Pacific Railway",2
"University of British Columbia","Wyllie and Norrish Rock Engineers Ltd",2
"University of British Columbia","Philom Bios Inc.",6
"University of British Columbia","Syngenta Biotechnology Inc.",6
"University of British Columbia","BIOCAP Canada Foundation",6
"University of British Columbia","International Rice Research Institute",6
"University of British Columbia","Agriculture and Agri-Food Canada",22
"University of British Columbia","Royal Veterinary and Agricultural University",6
"University of British Columbia","Reductase Consortium",6
"University of British Columbia","Nova Scotia Agricultural College",16
"University of British Columbia","Awesense Wireless Inc.",2
"University of British Columbia","UniversitÃ© du QuÃ©bec Ã  MontrÃ©al",1
"University of British Columbia","Atomic Energy of Canada Ltd",12
"University of British Columbia","Sun-Rype Products Ltd",1
"University of British Columbia","Toyo Pumps",2
"University of British Columbia","AeroInfo Systems Inc",2
"University of British Columbia","P&P Optica",1
"University of British Columbia","Linnaeus Plant Sciences Inc.",4
"University of British Columbia","Xerox Research Centre of Canada",2
"University of British Columbia","Canadian Autoparts Toyota Inc.",7
"University of British Columbia","Canada Foundation for Innovation",6
"University of British Columbia","BLS Systems Limited",1
"University of British Columbia","Nanozen Inc.",1
"University of British Columbia","De Beers Canada Exploration Inc.",3
"University of British Columbia","Sanatana Diamonds Inc.",3
"University of British Columbia","Clayburn Refractories Ltd",6
"University of British Columbia","BHP Diamonds Inc.",3
"University of British Columbia","Rescan Environmental Services Ltd.",3
"University of British Columbia","Crowd Muscle Research Inc.",1
"University of British Columbia","EPOD Solar Inc",18
"University of British Columbia","SemiosBIO Technologies Inc.",3
"University of British Columbia","Tolko Industries Ltd",3
"University of British Columbia","Arclin Canada Ltd",3
"University of British Columbia","Ontario Centre for Environmental Technology Advancement",12
"University of British Columbia","Klaris Corporation",12
"University of British Columbia","Ministry of Community Services",12
"University of British Columbia","Simpson Environmental Corporation",12
"University of British Columbia","Canadian Water Network",12
"University of British Columbia","Small Water Users Association of BC",12
"University of British Columbia","Cdn Water & Wastewater Association",12
"University of British Columbia","Aboriginal Affairs",4
"University of British Columbia","Ontario Clean Water Agency",12
"University of British Columbia","OCE Inc.",29
"University of British Columbia","HF Research Inc.",12
"University of British Columbia","Municipality of Brockton",12
"University of British Columbia","Ministry of Public Infrastructure Renewal",12
"University of British Columbia","GE Zenon ULC",12
"University of British Columbia","Indian and Northern Affairs Canada",12
"University of British Columbia","Trojan Technologies Inc.",12
"University of British Columbia","Health Canada",12
"University of British Columbia","Veolia Water Canada",12
"University of British Columbia","Government of Newfoundland & Labrador",18
"University of British Columbia","NovaTec Consultants Inc.",20
"University of British Columbia","Ultrafab Industries Ltd",12
"University of British Columbia","Bowen Island Municipality",12
"University of British Columbia","Kerr Wood Leidal Associates Ltd.",20
"University of British Columbia","Joule Microsystems Canada Inc.",12
"University of British Columbia","Ministry of Environment",12
"University of British Columbia","Ontario First Nations Technical Services Corporation",12
"University of British Columbia","Walkerton Clean Water Ctr",12
"University of British Columbia","The Litebook Company",12
